,reward,steps,found
482,190615.3196510868,12,True
483,-203020.62970469007,28,False
484,190751.9461899756,12,True
485,167947.7541442834,30,True
486,175794.9212984269,24,True
487,188385.6819045847,15,True
488,190580.2989347713,12,True
489,-210680.64299800145,49,False
490,190891.8196460038,11,True
491,189590.45643536048,14,True
492,-213177.1255701813,57,False
493,190338.89669460384,13,True
494,-199113.1555220706,11,False
495,191759.04628257005,10,True
496,180649.61540463063,20,True
497,191029.66088946615,11,True
498,-198352.82121864657,16,False
499,182120.0037883025,20,True
500,189372.6765878035,14,True
501,190949.7199080258,12,True
502,191797.1086030566,10,True
503,183650.95003037815,19,True
504,187523.34788230943,16,True
505,161773.5893440482,34,True
506,191232.60060980328,11,True
507,190947.224197138,11,True
508,178914.91004869746,22,True
509,187178.15371946877,16,True
510,-215752.0569496021,64,False
511,187892.6388730501,15,True
512,192035.0,9,True
513,190452.92448497727,13,True
514,180378.81579646465,21,True
515,190764.30435598388,12,True
516,190198.0795366698,13,True
517,-202560.9459731839,26,False
518,173410.74692159187,26,True
519,191766.66046489537,10,True
520,185618.9776480132,17,True
521,189413.1259128063,14,True
522,189454.30568406088,14,True
523,184904.85317744472,17,True
524,-209429.49149841236,48,False
525,159435.9761087095,36,True
526,191756.65385400667,10,True
527,190659.083487801,12,True
528,174329.98872248814,25,True
529,189430.55047851452,14,True
530,191162.9409076971,12,True
531,183116.91677063168,19,True
532,-105547.14433802864,79,False
533,188485.49513052363,15,True
534,187546.8691190584,15,True
535,183238.02111393612,19,True
536,191997.72193476927,10,True
537,185480.45234126563,17,True
538,157907.09746057232,37,True
539,191755.57508260343,10,True
540,185268.34486582733,17,True
541,178025.10195190366,22,True
542,192450.6563521265,9,True
543,188493.6872799112,15,True
544,191370.6537563941,10,True
545,189598.43050270152,13,True
546,191370.6537563941,10,True
547,-204956.82472490548,34,False
548,190484.10086535124,13,True
549,176009.3513567677,24,True
550,191572.21896595272,10,True
551,191230.67281534683,11,True
552,191544.95514000213,10,True
553,192035.0,9,True
554,191541.48394003557,10,True
555,191598.2227098173,10,True
556,191969.6662251714,10,True
557,187713.57413986415,15,True
558,190607.3017677245,12,True
559,190475.41588208365,12,True
560,192007.265702517,10,True
561,190868.05154192908,12,True
